id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	3r tau	-0.3882	0.4599	3	223	366	22	2008.1818
2	3xtg	-0.3863	-0.3828	1	190	253	20	2012.75
3	3xtg ad	-0.3648	-0.3976	1	485	999	89	2011.3371
4	3xtg ad mouse	-0.3762	-0.4143	1	614	1453	137	2011.6934
5	3xtg ad mouse model	-0.3816	-0.4312	1	149	200	22	2012.2727
6	3xtg mouse	-0.3869	-0.3776	1	190	263	22	2012.4545
7	3xtgad	-0.3384	-0.4329	1	131	208	19	2011.5263
8	3xtgad mouse	-0.3407	-0.433	1	229	380	36	2011.5833
9	4r tau	-0.2299	0.5363	3	258	459	28	2007.1786
10	a68	-0.8401	0.5106	4	174	284	19	1991.7368
11	aberrant accumulation	-0.6376	-0.0818	1	119	134	10	2010
12	aberrant phosphorylation	-0.8765	-0.0679	1	190	292	19	2005.4737
13	aberrant tau phosphorylation	-0.6678	-0.2444	1	124	150	13	2006.9231
14	abeta clearance	-0.1161	-0.3591	1	262	362	34	2012.2059
15	abeta degradation	-0.2775	-0.4199	1	164	194	14	2009.7143
16	abeta fibril	-0.1323	-0.2366	1	148	184	16	2009.25
17	abeta formation	-0.4499	-0.3543	1	146	175	15	2008.5333
18	abeta generation	-0.3564	-0.3079	1	266	386	33	2010.697
19	abeta immunotherapy	0.1111	-0.3726	1	212	316	23	2009.7826
20	abeta metabolism	0.4111	-0.4599	1	188	256	19	2010.3158
21	abeta precursor protein	-0.43	-0.1763	1	122	145	13	2010.1538
22	abeta ratio	1.4563	0.0657	2	160	281	12	2010.4167
23	abeta toxicity	-0.6343	-0.2661	1	312	473	41	2010.7561
24	abeta treatment	-0.7467	-0.2715	1	150	196	13	2011.1538
25	abeta1	0.9968	-0.2873	2	941	3050	164	2011.8171
26	abeta40	0.7515	-0.3597	2	509	1027	59	2010.339
27	abeta42	1.1057	-0.2218	2	1279	7326	404	2010.6337
28	abeta42 concentration	1.301	-0.1029	2	250	467	22	2010.5455
29	abeta42 level	1.2041	-0.1649	2	398	821	40	2011.825
