id	label	x	y	cluster	weight<No. of pubs>	weight<No. of cits>
1	ChemInform	1.2911	0.3238	4	487522	907
2	PLoS ONE	0.023	0.4739	2	185281	1105346
3	Physical Review B	1.6677	-0.0869	4	166709	2577030
4	Science	0.3327	0.3542	6	139038	2798616
5	Chemischer Informationsdienst	1.287	0.3247	4	134384	11
6	Nature	0.294	0.4454	6	133919	3108713
7	Reactions Weekly	-0.3491	0.5324	2	125161	9
8	Proceedings of the National Academy of Sciences	0.1431	0.6401	6	111947	2908954
9	Applied Physics Letters	1.5081	0.0013	4	110975	1324010
10	Journal of Applied Physics	1.4906	-0.0095	4	107224	844278
11	Lecture Notes in Computer Science	0.4571	-0.5541	5	106905	67143
12	Journal of Biological Chemistry	0.0427	0.7965	6	103193	1896740
13	Physical Review Letters	1.6963	-0.3304	7	100483	3289330
14	The Journal of Chemical Physics	1.4505	0.2372	4	88450	1448698
15	Physical Review D	1.581	-0.6986	7	72860	1043155
16	Journal of Geophysical Research Atmospheres	0.7113	-0.0679	3	70537	1005005
17	Physical Review A	1.6395	-0.3573	7	68570	878966
18	MRS Proceedings	1.4576	-0.0017	4	67920	52584
19	Scientific Reports	0.3128	0.6121	6	55599	151279
20	Physical Review E	1.1045	-0.4462	5	54836	558494
22	Angewandte Chemie	1.4179	0.3544	4	53757	409699
23	Annals of the New York Academy of Sciences	-0.1902	0.4509	2	51023	201201
24	Chemical Communications	1.3862	0.315	4	48094	567956
25	Journal of Applied Polymer Science	1.1973	0.1237	4	47749	200594
26	FEBS Letters	0.1944	0.7583	6	46085	356396
27	RSC Advances	1.3116	0.2357	4	45111	153387
28	Angewandte Chemie International Edition	1.4005	0.3352	4	42394	923856
29	Acta Crystallographica Section E Structure Reports Online	1.3595	0.2872	4	40535	23979
30	Medical Physics	-0.364	0.5758	2	38240	103221
31	Pediatric Research	-0.3373	0.4468	2	36825	65601
32	Cancer	-0.3433	0.6053	2	36009	299125
33	Geophysical Research Letters	0.7131	-0.0752	3	35606	386855
34	Physics Today	1.4655	-0.29	7	33777	36768
35	Physical Review C	1.886	-0.5672	7	32494	338788
36	Biochemical Journal	0.0544	0.6769	6	32447	340329
37	Journal of Materials Science	1.2628	0.0239	4	32277	139872
38	Review of Scientific Instruments	1.4296	-0.0277	4	32254	160533
39	Journal of The Electrochemical Society	1.3632	0.0887	4	32106	199801
40	Physical Chemistry Chemical Physics	1.4359	0.2377	4	31692	219373
41	Annals of the Rheumatic Diseases	-0.4062	0.6015	2	31233	126068
42	Veterinary Record	0.2068	0.5214	3	30281	44234
43	Chemistry - A European Journal	1.399	0.3432	4	30211	316976
44	Hepatology	-0.351	0.6504	2	26261	241776
45	Otolaryngology - Head and Neck Surgery	-0.4741	0.485	2	25818	53064
46	Biochemical Society Transactions	0.0799	0.695	6	25033	61917
47	International Journal of Cancer	-0.247	0.6839	2	25023	206363
48	BDJ	-0.5255	0.5519	8	24966	24968
49	Journal of High Energy Physics	1.5843	-0.7066	7	24445	360466
50	Journal of Neurochemistry	-0.1533	0.5781	2	24065	187046
51	The Journal of Physiology	-0.2006	0.4957	2	23688	272530
52	Acta Crystallographica Section A Foundations of Crystallography	1.3595	0.2866	4	23437	58868
53	physica status solidi (b)	1.5195	-0.0051	4	23108	54439
54	International Journal of Gynecology & Obstetrics	-0.3852	0.3889	2	22948	33421
55	Archives of Disease in Childhood	-0.3854	0.3957	2	22848	63331
56	The American Journal of Gastroenterology	-0.3658	0.6367	2	22777	109572
