id	label	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<No. co-authored pubs>
grid.1001.0	Australian National University	http://en.wikipedia.org/wiki/Australian_National_University	-0.118	-0.4343	13	1705	18196	31344
grid.1002.3	Monash University	http://en.wikipedia.org/wiki/Monash_University	-0.151	-0.6353	13	1874	33597	55074
grid.10025.36	University of Liverpool	http://en.wikipedia.org/wiki/University_of_Liverpool	0.0931	-0.229	5	1821	19539	32088
grid.1003.2	University of Queensland	http://en.wikipedia.org/wiki/University_of_Queensland	-0.1433	-0.5113	13	1903	36304	60584
grid.1004.5	Macquarie University	http://en.wikipedia.org/wiki/Macquarie_University	-0.253	-0.4535	13	1579	10177	17420
grid.10041.34	University of La Laguna	http://en.wikipedia.org/wiki/University_of_La_Laguna	0.7926	0.2326	7	1068	4620	7766
grid.10049.3c	University of Limerick	http://en.wikipedia.org/wiki/University_of_Limerick	-0.0766	-0.234	5	1043	3418	7212
grid.1005.4	UNSW Australia	http://en.wikipedia.org/wiki/University_of_New_South_Wales	-0.2974	-0.414	13	1909	31617	55026
grid.1006.7	Newcastle University	http://en.wikipedia.org/wiki/Newcastle_University	0.2011	-0.3525	5	1762	15163	26345
grid.1007.6	University of Wollongong	http://en.wikipedia.org/wiki/University_of_Wollongong	-0.3893	-0.4588	13	1430	9873	17064
grid.1008.9	University of Melbourne	http://en.wikipedia.org/wiki/University_of_Melbourne	-0.0899	-0.6028	13	1901	40905	64874
grid.1009.8	University of Tasmania	http://en.wikipedia.org/wiki/University_of_Tasmania	-0.0858	-0.5334	13	1542	8373	14445
grid.1010.0	University of Adelaide	http://en.wikipedia.org/wiki/University_of_Adelaide	-0.2489	-0.5696	13	1843	18212	30341
grid.1011.1	James Cook University	http://en.wikipedia.org/wiki/James_Cook_University	-0.0984	-0.4813	13	1397	6687	11569
grid.1012.2	University of Western Australia	http://en.wikipedia.org/wiki/University_of_Western_Australia	-0.1758	-0.4184	13	1806	19334	31836
grid.1013.3	University of Sydney	http://en.wikipedia.org/wiki/University_of_Sydney	-0.3015	-0.4846	13	1919	42095	68734
