id	label	description	x	y	weight<Total co-citations>	cluster
1	eur j oper res	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH	0.8602	-0.6316	493	3
2	am econ rev	AMERICAN ECONOMIC REVIEW	-0.6906	-0.1531	602	1
3	j financ	JOURNAL OF FINANCE	-0.7616	0.3077	563	5
4	acad manage j	ACADEMY OF MANAGEMENT JOURNAL	0.6773	0.5419	552	2
5	manage sci	MANAGEMENT SCIENCE	0.5552	-0.3202	440	3
6	j financ econ	JOURNAL OF FINANCIAL ECONOMICS	-0.6573	0.2799	461	5
7	comput oper res	COMPUTERS & OPERATIONS RESEARCH	0.9035	-0.7444	254	3
8	ecol econ	ECOLOGICAL ECONOMICS	-0.1947	-0.2346	116	1
9	j polit econ	JOURNAL OF POLITICAL ECONOMY	-0.7921	-0.3348	395	1
10	health econ	HEALTH ECONOMICS	-0.3629	-0.2894	67	1
11	j bus res	JOURNAL OF BUSINESS RESEARCH	0.7323	0.1663	327	4
12	j econometrics	JOURNAL OF ECONOMETRICS	-0.7123	-0.2889	172	1
13	j public econ	JOURNAL OF PUBLIC ECONOMICS	-0.5807	-0.2332	241	1
14	acad manage rev	ACADEMY OF MANAGEMENT REVIEW	0.6694	0.6214	367	2
15	strategic manage j	STRATEGIC MANAGEMENT JOURNAL	0.5721	0.4007	421	2
16	econometrica	ECONOMETRICA	-0.6915	-0.2828	170	1
17	world dev	WORLD DEVELOPMENT	-0.2868	-0.056	86	1
18	int j prod res	INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH	1.1282	-0.4138	186	3
19	q j econ	QUARTERLY JOURNAL OF ECONOMICS	-0.8	-0.0866	314	1
20	j marketing	JOURNAL OF MARKETING	0.8442	0.1352	358	4
21	int j prod econ	INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS	1.0751	-0.3917	212	3
22	expert syst appl	EXPERT SYSTEMS WITH APPLICATIONS	1.0338	-0.4754	95	3
23	organ sci	ORGANIZATION SCIENCE	0.6966	0.5407	373	2
24	res policy	RESEARCH POLICY	0.1157	0.2227	217	2
25	organ stud	ORGANIZATION STUDIES	0.4043	0.5583	287	2
26	econ j	ECONOMIC JOURNAL	-0.5698	-0.0464	199	1
27	harvard bus rev	HARVARD BUSINESS REVIEW	0.7737	0.4298	219	2
28	j manage stud	JOURNAL OF MANAGEMENT STUDIES	0.6289	0.6034	286	2
29	rev econ stud	REVIEW OF ECONOMIC STUDIES	-0.6717	-0.1291	231	1
30	mis quart	MIS QUARTERLY	1.1045	0.0766	229	4
31	j int econ	JOURNAL OF INTERNATIONAL ECONOMICS	-0.8173	-0.2334	203	1
32	eur econ rev	EUROPEAN ECONOMIC REVIEW	-0.6948	-0.1014	161	1
33	j econ perspect	JOURNAL OF ECONOMIC PERSPECTIVES	-0.3955	-0.0268	193	1
34	rev econ stat	REVIEW OF ECONOMICS AND STATISTICS	-0.6951	-0.1428	195	1
35	j health econ	JOURNAL OF HEALTH ECONOMICS	-0.5534	-0.252	96	1
36	market sci	MARKETING SCIENCE	0.5505	-0.0025	163	4
37	decis support syst	DECISION SUPPORT SYSTEMS	1.1277	-0.2527	114	3
38	j consum res	JOURNAL OF CONSUMER RESEARCH	0.5147	0.0276	118	4
39	j monetary econ	JOURNAL OF MONETARY ECONOMICS	-0.91	-0.2368	254	1
40	j optimiz theory app	JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS	0.8539	-0.8917	38	3
41	j bank financ	JOURNAL OF BANKING & FINANCE	-0.7998	0.177	169	5
42	j account econ	JOURNAL OF ACCOUNTING & ECONOMICS	-1.0108	0.8871	204	5
43	inform manage-amster	INFORMATION & MANAGEMENT	0.9786	0.016	152	4
44	math program	MATHEMATICAL PROGRAMMING	0.8394	-0.9005	38	3
45	j marketing res	JOURNAL OF MARKETING RESEARCH	0.4575	-0.1015	206	4
46	appl econ	APPLIED ECONOMICS	-0.5255	-0.2765	92	1
47	rev financ stud	REVIEW OF FINANCIAL STUDIES	-0.8064	0.0527	168	5
48	oper res	OPERATIONS RESEARCH	0.7045	-0.6779	90	3
49	econ lett	ECONOMICS LETTERS	-0.5817	-0.2521	121	1
50	j organ behav	JOURNAL OF ORGANIZATIONAL BEHAVIOR	0.7596	0.6404	125	2
51	game econ behav	GAMES AND ECONOMIC BEHAVIOR	-0.363	-0.3119	82	1
52	j bus ethics	JOURNAL OF BUSINESS ETHICS	0.3219	0.5156	130	2
53	technovation	TECHNOVATION	0.6111	0.2465	125	2
54	j environ econ manag	JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT	-0.3239	-0.279	108	1
55	j bus	JOURNAL OF BUSINESS	-0.6996	0.3525	189	5
56	reliab eng syst safe	RELIABILITY ENGINEERING & SYSTEM SAFETY	1.0553	-0.6565	40	3
57	j oper res soc	JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY	0.6929	-0.5899	81	3
58	j econ lit	JOURNAL OF ECONOMIC LITERATURE	-0.6492	-0.1777	140	1
59	am j agr econ	AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	-0.3149	-0.3471	78	1
60	j manage	JOURNAL OF MANAGEMENT	0.591	0.634	197	2
61	j int bus stud	JOURNAL OF INTERNATIONAL BUSINESS STUDIES	0.7511	0.4621	220	2
62	account rev	ACCOUNTING REVIEW	-0.8844	0.9268	182	5
63	transport res b-meth	TRANSPORTATION RESEARCH PART B-METHODOLOGICAL	0.3469	-0.5659	38	3
64	j global optim	JOURNAL OF GLOBAL OPTIMIZATION	0.9431	-0.9532	43	3
65	rev account stud	REVIEW OF ACCOUNTING STUDIES	-1.102	0.9831	73	5
66	j econ theory	JOURNAL OF ECONOMIC THEORY	-0.4591	-0.4143	103	1
67	j policy anal manag	JOURNAL OF POLICY ANALYSIS AND MANAGEMENT	-0.4878	-0.1771	37	1
68	acad manag learn edu	ACADEMY OF MANAGEMENT LEARNING & EDUCATION	0.487	0.6629	156	2
69	organ behav hum dec	ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES	0.5274	0.2864	115	4
70	j econ behav organ	JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION	-0.3557	-0.0907	87	1
71	omega-int j manage s	OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE	1.1011	-0.4247	124	3
72	tourism manage	TOURISM MANAGEMENT	0.1377	-0.0833	27	4
73	rand j econ	RAND JOURNAL OF ECONOMICS	-0.3283	-0.0957	90	1
74	environ resour econ	ENVIRONMENTAL & RESOURCE ECONOMICS	-0.3456	-0.3512	99	1
75	econ theor	ECONOMIC THEORY	-0.3811	-0.4236	34	1
76	oper res lett	OPERATIONS RESEARCH LETTERS	0.9789	-0.88	57	3
77	j bus venturing	JOURNAL OF BUSINESS VENTURING	0.4024	0.4908	203	2
78	int j forecasting	INTERNATIONAL JOURNAL OF FORECASTING	-0.4054	-0.2848	72	1
79	j appl econom	JOURNAL OF APPLIED ECONOMETRICS	-0.9453	-0.3982	92	1
80	j money credit bank	JOURNAL OF MONEY CREDIT AND BANKING	-0.8084	-0.1058	162	1
81	ann oper res	ANNALS OF OPERATIONS RESEARCH	0.8098	-0.8076	62	3
82	entrep theory pract	ENTREPRENEURSHIP THEORY AND PRACTICE	0.5874	0.5719	163	2
83	iie trans	IIE TRANSACTIONS	0.994	-0.6064	103	3
84	j dev econ	JOURNAL OF DEVELOPMENT ECONOMICS	-0.7227	-0.1695	93	1
85	j urban econ	JOURNAL OF URBAN ECONOMICS	-0.3849	-0.2908	67	1
86	j manage inform syst	JOURNAL OF MANAGEMENT INFORMATION SYSTEMS	1.1893	0.0293	144	4
87	j eur econ assoc	JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION	-0.8436	-0.2126	127	1
88	energ econ	ENERGY ECONOMICS	-0.5221	-0.2784	54	1
89	j hum resour	JOURNAL OF HUMAN RESOURCES	-0.6352	-0.1823	75	1
90	j econ dyn control	JOURNAL OF ECONOMIC DYNAMICS & CONTROL	-0.6038	-0.4565	81	1
