id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	"abbasi, a"	0.1233	-0.452	17	4	5	3	124	9.1982	2012	41.3333	3.0661
9	"ahlgren, p"	-0.2813	-0.0594	5	6	7	4	40	2.4467	2012.5	10	0.6117
13	"albarran, p"	-0.3945	-0.1831	9	2	4	2	38	1.9237	2011	19	0.9618
15	"alexandrov, m"	0.414	0.0846	13	2	2	1	5	0.1275	2007	5	0.1275
18	"altmann, j"	0.0909	-0.4459	17	2	2	1	63	3.1892	2011	63	3.1892
24	"anegon, fd"	-0.1173	-0.3102	8	3	6	2	7	1.7607	2015	3.5	0.8804
25	"aparicio, j"	-0.3939	-0.401	18	3	3	1	5	2.8169	2015	5	2.8169
29	"arsenault, c"	0.5387	-0.0897	3	2	2	1	0	0	2015	0	0
36	"bao, jz"	-0.2355	0.1561	5	9	9	1	1	1.4516	2016	1	1.4516
37	"bar-ilan, j"	-0.219	0.3331	2	4	4	4	161	6.2538	2010.25	40.25	1.5635
42	"batagelj, v"	-0.4468	0.1702	2	4	4	1	4	1.0061	2014	4	1.0061
44	"beirlant, j"	-0.5792	-0.0231	7	3	3	1	19	0.4845	2007	19	0.4845
48	"bettencourt, lma"	-0.2312	-0.3729	9	2	2	1	37	1.2308	2009	37	1.2308
52	"bobb, k"	0.2238	0.0774	1	7	7	1	112	5.6697	2011	112	5.6697
54	"bollen, j"	0.3488	-0.4932	6	13	15	4	21	1.7844	2010.75	5.25	0.4461
60	"bordons, m"	-0.4021	-0.3521	18	5	8	4	157	6.9438	2012	39.25	1.736
61	"borner, k"	0.2601	0.1051	1	11	11	2	114	5.7207	2009	57	2.8604
62	"bornmann, l"	0.0094	-0.2822	8	22	62	37	619	59.3261	2011.9459	16.7297	1.6034
64	"boyack, kw"	0.1674	0.1016	1	11	14	5	137	8.2051	2012.2	27.4	1.641
68	"broom, m"	0.1363	-0.0087	1	3	3	1	26	1.1903	2010	26	1.1903
70	"bu, b"	-0.1715	-0.1712	22	2	2	1	13	1.2347	2012	13	1.2347
72	"buter, rk"	-0.601	-0.4062	10	1	1	1	11	0.5568	2011	11	0.5568
75	"calero-medina, c"	-0.6768	-0.254	10	1	1	1	21	0.9038	2008	21	0.9038
80	"carbonez, a"	-0.5917	-0.047	7	3	3	1	19	0.4845	2007	19	0.4845
81	"castellano, c"	-0.2896	-0.2177	9	3	4	2	60	6.4163	2012.5	30	3.2081
85	"chang, hw"	0.1769	0.3147	11	2	2	1	8	0.7598	2012	8	0.7598
86	"chang, kc"	0.2529	0.3258	21	5	5	2	21	1.9946	2012	10.5	0.9973
89	"chen, dz"	0.1225	0.3144	11	13	26	12	79	7.5908	2012.6667	6.5833	0.6326
91	"chen, j"	-0.1102	-0.0292	25	2	4	2	18	0.9112	2011	9	0.4556
96	"chen, sj"	0.518	-0.0975	3	2	2	1	0	0	2015	0	0
97	"chen, ss"	0.424	-0.434	6	7	7	1	7	0.6649	2012	7	0.6649
101	"chinchilla-rodriguez, z"	-0.4113	0.1343	2	6	8	2	12	1.2723	2011.5	6	0.6361
112	"colliander, c"	-0.2872	-0.0868	5	1	2	2	36	1.4406	2010	18	0.7203
115	"cordon, o"	-0.3642	0.2223	2	3	3	1	8	0.3662	2010	8	0.3662
119	"costas, r"	-0.3805	-0.312	18	4	5	3	152	6.1361	2012	50.6667	2.0454
123	"craze, pg"	0.1559	-0.0309	1	3	3	1	26	1.1903	2010	26	1.1903
124	"cronin, b"	0.4598	-0.2419	3	8	9	3	29	3.7948	2013	9.6667	1.2649
125	"crowcroft, j"	0.775	-0.3353	4	2	2	1	5	0.4749	2012	5	0.4749
129	"daniel, hd"	-0.0349	-0.2348	8	7	25	13	341	15.0276	2009.2308	26.2308	1.156
135	"de moor, b"	-0.4948	-0.109	7	3	3	1	4	0.1722	2008	4	0.1722
136	"de moya-anegon, f"	-0.3306	0.2566	2	6	8	3	61	2.7534	2009.6667	20.3333	0.9178
137	"de nooy, w"	0.1288	-0.1965	12	1	1	1	0	0	2015	0	0
