id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Publications>
6	Univ Graz	0.9064	0.2151	3	347	534.9975	864
8	Graz Univ Technol	0.8701	0.2141	3	254	389.9985	762
10	Univ Innsbruck	0.945	0.1684	3	414	726.9985	1147
19	Vienna Univ Technol	0.759	0.1592	3	447	858.998	1444
21	Univ Nat Resources & Life Sci - BOKU	0.8002	0.1978	3	267	441.9994	867
24	Univ Vienna	0.8283	0.1604	3	512	1700.9994	2638
35	Univ Antwerp	0.4822	-0.0124	9	525	1566.0001	2418
36	Vrije Univ Brussel	0.5606	-0.0808	9	474	1304.9993	1940
40	Univ Libre Bruxelles	0.5889	-0.1189	9	535	1507.0003	2335
42	Ghent Univ	0.4911	-0.0671	9	627	3415.9994	6108
43	Katholieke Univ Leuven	0.5406	-0.0253	9	648	4057.0001	6888
44	Univ Liège	0.5075	-0.1392	9	448	1146.0003	2037
45	Univ Catholique Louvain	0.5564	-0.1637	9	526	1242.9993	2188
78	Univ Zagreb	0.6943	0.1354	3	455	694.9983	2135
84	Masaryk Univ - Brno	0.5906	0.0689	3	379	654.9987	1398
89	Palacký Univ Olomouc	0.551	0.0426	3	381	550.997	1070
95	Charles Univ - Prague	0.5397	0.0812	3	584	1893.9996	4118
101	Aalborg Univ	0.3352	0.2742	12	325	712.9997	1306
102	Aarhus Univ	0.3536	0.3232	12	580	2389.0003	4122
109	Univ Copenhagen	0.397	0.2816	12	655	4096.9999	7015
111	Tech Univ Denmark	0.2899	0.3454	12	518	1484.9982	2689
112	Univ Southern Denmark	0.4489	0.31	12	473	1248.9998	2062
117	Univ Tartu	0.5087	0.4334	12	425	522.0006	1186
123	Univ Helsinki	0.5232	0.5316	12	612	3085.9998	4945
125	Univ Jyväskylä	0.475	0.519	12	357	706.9977	1075
128	Univ Oulu	0.474	0.5702	12	434	833.998	1316
131	Univ Tampere	0.5346	0.6312	12	372	616.9987	960
133	Univ Turku	0.4854	0.615	12	479	1198.9999	1782
167	Univ Kebangsaan Malaysia	-0.2154	0.6585	5	196	529.9995	1402
210	RWTH Aachen Univ	0.6636	0.5912	3	555	1881.0003	3364
214	Univ Bayreuth	0.752	0.3494	3	293	454.9982	800
215	Freie Univ Berlin	1.1479	0.5738	3	593	5293.9985	6238
216	Humboldt Univ Berlin	1.1342	0.6286	3	619	5350.0005	6059
217	Tech Univ Berlin	0.6503	0.3325	3	357	793.9982	1519
218	Bielefeld Univ	0.6763	0.4271	3	301	539.999	975
219	Ruhr-Univ Bochum	0.7542	0.4179	3	508	1451.0018	2458
220	Univ Bonn	0.813	0.4101	3	592	2480.9999	3719
222	Tech Univ Braunschweig	0.6163	0.5187	3	314	462.9985	913
223	Univ Bremen	0.5823	0.4345	3	375	611.0006	1130
226	Tech Univ Darmstadt	0.6126	0.3844	3	434	739.9987	1337
227	Tech Univ Dortmund	0.7028	0.2988	3	379	518.0016	922
228	Tech Univ Dresden	0.7188	0.4716	3	573	2042.9987	3598
229	Heinrich Heine Univ Düsseldorf	0.9916	0.5983	3	456	1457.001	2333
232	Friedrich-Alexander-Univ Erlangen-Nürnberg	0.8694	0.4277	3	542	2089.999	3581
233	Univ Duisburg-Essen	0.9402	0.557	3	468	1439.0001	2383
235	Goethe Univ Frankfurt	0.8255	0.3538	3	572	2009.0008	3275
236	Univ Freiburg	1.0244	0.3447	3	558	2283.9991	3612
237	Justus Liebig Univ Giessen	0.6934	0.5248	3	472	1094.0001	1773
238	Univ Göttingen	0.8363	0.4752	3	563	2042.9999	3438
239	Ernst-Moritz-Arndt Univ Greifswald	0.8205	0.6248	3	383	615.9989	1005
243	Univ Hamburg	0.8588	0.6849	3	581	2673.0008	4231
244	Hannover Med Sch	0.9187	0.6399	3	413	1585.9993	2508
245	Gottfried Wilhelm Leibniz Univ Hannover	0.6368	0.4704	3	339	500.9995	1005
246	Heidelberg Univ	0.9577	0.3482	3	612	3947.9999	6311
247	Friedrich Schiller Univ Jena	0.7794	0.4752	3	490	1438.9986	2641
251	Kiel Univ	0.9656	0.7167	3	502	1859.0006	2447
252	Univ Cologne	1.0215	0.5355	3	511	1891.0003	2951
253	Univ Konstanz	0.8905	0.2984	3	290	442.9987	805
254	Leipzig Univ	0.8745	0.5834	3	472	1483.9987	2594
256	Otto von Guericke Univ Magdeburg	0.7317	0.5984	3	319	652.9984	1190
