id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
14	"abramo, giovanni"	-0.7539	-0.8101	17	1	4	4	4	1.3716	2020.25	1	0.3429
23	"ahlgren, per"	-0.9482	-0.6666	5	2	3	4	15	5.1437	2020.25	3.75	1.2859
39	"alelyani, salem"	1.0774	-0.5388	1	8	12	3	6	2.0575	2020.3333	2	0.6858
44	"aljohani, naif r."	1.2582	-0.4243	1	5	7	2	8	2.7433	2020	4	1.3716
45	"aljohani, naif radi"	0.9567	-0.423	1	8	14	4	4	6.2927	2020.75	1	1.5732
60	"amjad, tehmina"	-0.4144	-0.6051	13	1	1	2	2	0.6858	2020.5	1	0.3429
133	"beaudry, catherine"	-0.8225	-0.1072	3	2	2	2	0	0	2020.5	0	0
180	"bornmann, lutz"	0.3792	-0.3786	16	16	28	19	41	14.0593	2020.2632	2.1579	0.74
184	"boufarss, mohamed"	0.816	0.2235	6	1	1	2	5	1.7146	2020	2.5	0.8573
189	"boyack, kevin w."	-0.7214	-0.5066	5	3	3	2	19	6.5153	2020	9.5	3.2577
209	"bu, yi"	-0.4339	-0.3358	13	7	8	4	4	3.8322	2020.75	1	0.958
228	"cai, xiaojing"	-0.0112	-0.4054	4	5	6	3	3	5.9497	2020.3333	1	1.9832
251	"catalano, giuseppe"	-0.3405	0.4141	11	5	7	2	0	0	2020	0	0
256	"chacko, george"	0.2301	-0.168	15	5	17	6	15	5.1437	2020.1667	2.5	0.8573
271	"chen, bikun"	-0.8111	0.1826	9	5	5	2	14	4.8007	2020	7	2.4004
290	"chen, yue"	0.1071	0.5727	8	6	8	5	8	2.7433	2020.2	1.6	0.5487
307	"chinchilla-rodríguez, zaida"	-0.4183	0.0554	7	4	4	2	1	0.3429	2020.5	0.5	0.1715
333	"colavizza, giovanni"	-0.7767	-0.4416	5	3	3	4	18	6.1724	2020.25	4.5	1.5431
344	"costas, rodrigo"	-0.135	-0.0569	14	5	7	6	30	10.2873	2020.1667	5	1.7146
353	"cuxac, pascal"	0.1541	0.3584	8	4	6	2	2	0.6858	2020.5	1	0.3429
359	"daraio, cinzia"	-0.3531	0.3045	11	5	8	5	5	1.7146	2020	1	0.3429
371	"de moya-anegon, felix"	-0.5915	0.5687	7	4	10	3	7	4.8609	2020.3333	2.3333	1.6203
399	"devarakonda, sitaram"	0.3312	-0.2198	15	5	15	5	15	5.1437	2020	3	1.0287
427	"donner, paul"	-0.9564	-0.4968	5	2	2	4	8	2.7433	2020	2	0.6858
439	"drongstrup, dorte"	0.965	-0.5531	1	3	3	2	2	0.6858	2020.5	1	0.3429
443	"du, jian"	-0.0631	1.1141	12	2	2	3	1	0.3429	2020.6667	0.3333	0.1143
453	"dugué, nicolas"	0.0574	0.3906	8	4	6	2	2	0.6858	2020.5	1	0.3429
462	"d’angelo, ciriaco andrea"	-0.7723	-0.7328	17	2	5	6	13	4.4578	2020.1667	2.1667	0.743
466	"egghe, leo"	0.1149	0.9312	12	1	2	3	4	1.3716	2020.3333	1.3333	0.4572
471	"engels, tim c. e."	0.5205	0.0711	6	2	3	2	0	0	2021	0	0
488	"fang, zhichao"	-0.045	-0.0014	14	3	4	2	22	7.544	2020	11	3.772
500	"fayoumi, ayman"	1.0475	-0.2524	1	4	6	2	2	5.6068	2021	1	2.8034
590	"gingras, yves"	-0.9792	-0.0107	3	2	4	3	12	4.1149	2020	4	1.3716
594	"glänzel, wolfgang"	-0.0524	0.4951	11	12	14	7	46	18.2344	2020.1429	6.5714	2.6049
600	"golosovsky, michael"	-0.6571	-0.1754	3	1	1	2	0	0	2021	0	0
614	"gorraiz, juan"	-0.0871	0.6038	11	1	1	3	0	0	2020.3333	0	0
627	"grácio, maria cláudia cabrini"	-0.4218	0.1526	7	2	2	3	2	3.1463	2020.6667	0.6667	1.0488
632	"guerrero-bote, vicente"	-0.6074	0.4296	7	4	10	3	7	4.8609	2020.3333	2.3333	1.6203
638	"guns, raf"	0.6091	-0.0136	6	8	12	5	5	4.1751	2020.8	1	0.835
672	"harsh, matthew"	-0.8202	-0.1782	3	2	2	2	0	0	2020.5	0	0
676	"hassan, saeed-ul"	1.0658	-0.4006	1	10	21	6	12	9.0359	2020.5	2	1.506
678	"haunschild, robin"	0.363	-0.5209	16	3	7	7	9	3.0862	2020.2857	1.2857	0.4409
707	"hladchenko, myroslava"	-0.5094	0.4964	7	4	5	2	2	5.6068	2021	1	2.8034
732	"hu, guangyuan"	0.6483	0.7296	2	2	3	2	20	6.8582	2020	10	3.4291
737	"hu, zhigang"	-0.1028	0.1679	14	2	2	2	6	2.0575	2020	3	1.0287
745	"huang, ying"	0.3837	0.3513	2	4	12	5	43	24.5872	2020.6	8.6	4.9174
746	"huang, yong"	-0.5327	-0.365	13	2	3	2	4	3.8322	2020.5	2	1.9161
768	"iqbal, sehrish"	1.1543	-0.4489	1	8	12	3	8	2.7433	2020.3333	2.6667	0.9144
853	"khelfaoui, mahdi"	-1.0034	-0.0839	3	2	4	3	12	4.1149	2020	4	1.3716
881	"korobskiy, dmitriy"	0.3648	-0.0995	15	3	11	4	7	2.4004	2020.25	1.75	0.6001
887	"kousha, kayvan"	0.6566	-0.4718	10	2	6	6	25	8.5728	2020.5	4.1667	1.4288
903	"kulczycki, emanuel"	0.6448	0.1295	6	4	6	3	9	5.5467	2020.3333	3	1.8489
914	"laakso, mikael"	0.7465	0.1817	6	5	5	3	13	4.4578	2020	4.3333	1.4859
921	"lamirel, jean-charles"	0.1326	0.4517	8	4	7	3	2	0.6858	2020.6667	0.6667	0.2286
931	"larivière, vincent"	-0.6851	-0.0671	3	13	22	12	27	19.1006	2020.4167	2.25	1.5917
960	"leydesdorff, loet"	-0.1142	-0.2959	4	6	9	6	8	2.7433	2020.1667	1.3333	0.4572
985	"li, xin"	-0.2951	-0.4792	13	4	4	2	0	0	2020.5	0	0
1002	"lin, deming"	0.1491	0.6747	8	2	2	2	0	0	2020	0	0
1033	"liu, weishu"	0.7401	0.746	2	4	6	8	83	28.4616	2020.125	10.375	3.5577
1037	"liu, xiaozhong"	-1.045	0.2899	9	2	4	2	12	4.1149	2020.5	6	2.0575
1044	"liu, yuxian"	-0.0515	0.9481	12	2	2	2	2	0.6858	2020	1	0.3429
1048	"lopez-illescas, carmen"	-0.6779	0.5053	7	4	10	3	7	4.8609	2020.3333	2.3333	1.6203
1066	"lyhagen, johan"	-0.9994	-0.7139	5	1	2	2	1	0.3429	2020.5	0.5	0.1715
1069	"lyu, xiaozan"	-0.0544	-0.1968	4	4	6	4	4	1.3716	2020.25	1	0.3429
1078	"ma, shutian"	-0.9983	0.3606	9	2	4	2	12	4.1149	2020.5	6	2.0575
1124	"martín-martín, alberto"	0.6719	-0.7409	10	2	4	2	29	9.9444	2020	14.5	4.9722
1127	"marx, werner"	0.2693	-0.5397	16	2	2	2	7	2.4004	2020	3.5	1.2002
1129	"mas-bleda, amalia"	0.7708	-0.6265	10	1	2	2	1	0.3429	2020	0.5	0.1715
1168	"milojević, staša"	-0.4323	-0.2129	4	4	4	6	17	8.29	2020.1667	2.8333	1.3817
