id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. cit. impact>	score<Perc. JASIST>	score<Perc. JOI>	score<Perc. Scientometrics>	score<Perc. USA>	score<Perc. China>	score<Perc. Belgium>	score<Perc. Netherlands>	score<Perc. OA free to read>	score<Perc. OA green>	score<Perc. OA hybrid>
1	21st century	-0.8406	-0.2891	3	102	123	12	2010.9167	1.3275	0.3333	0.0833	0.5833	0.25	0.1667	0	0	0.1667	0.1667	0
2	ability	0.6621	0.0927	1	495	1059	108	2011.9352	1.1951	0.5926	0.1204	0.287	0.4074	0.0556	0.0278	0.0556	0.2685	0.25	0.0185
3	aca	0.2732	-0.398	4	104	151	18	2010.6667	1.2039	0.2778	0.3333	0.3889	0.1667	0.3333	0	0.0556	0.1111	0.1111	0
4	academic article	-0.0375	-0.0326	4	111	129	15	2013.6667	1.2651	0.4	0.0667	0.5333	0.1333	0.1333	0	0	0.3333	0.2667	0.0667
5	academic field	-0.3255	0.0828	2	85	93	14	2012.8571	0.9723	0.3571	0.1429	0.5	0.2143	0.0714	0.0714	0.1429	0.2143	0.1429	0.0714
6	academic institution	-0.6114	0.2503	2	164	230	25	2013.48	1.4089	0.12	0.16	0.72	0.08	0.04	0.04	0	0.56	0.48	0.08
7	academic journal	-0.4295	0.3631	2	214	305	35	2012.3714	0.6613	0.2	0.1429	0.6571	0.0571	0.2857	0.0286	0.0571	0.1143	0.0857	0.0286
8	academic paper	0.1178	0.4281	2	96	113	17	2012.7059	1.436	0.2941	0.0588	0.6471	0.2353	0.1765	0.0588	0.0588	0.3529	0.3529	0
9	academic performance	-0.2596	0.4426	2	80	89	10	2014	0.9126	0.2	0.2	0.6	0	0.3	0	0.1	0.2	0.1	0.1
10	academic position	-0.2771	0.0651	2	85	105	11	2013.2727	1.1135	0.2727	0.1818	0.5455	0.2727	0	0.0909	0	0.3636	0.2727	0.0909
11	academic productivity	-0.4341	-0.1268	3	70	83	10	2013.2	0.7872	0	0.1	0.9	0.3	0.2	0	0	0.1	0.1	0
12	academic rank	-0.3415	0.1284	2	113	160	16	2013.1875	1.784	0	0.125	0.875	0.1875	0	0	0.0625	0.1875	0.1875	0
13	academic ranking	-0.1956	0.3042	2	104	178	21	2012	2.0142	0.0952	0.0476	0.8571	0.0476	0	0.0952	0.0476	0.2381	0.2381	0
14	acceptance	0.4334	0.5981	2	179	296	34	2012.6176	1.0227	0.4412	0.0294	0.5294	0.2941	0.1176	0.0294	0.0588	0.4118	0.3529	0.0588
15	accuracy	0.7016	-0.3	1	519	1329	147	2012.3197	1.1118	0.5306	0.1361	0.3333	0.3197	0.1224	0.0272	0.0612	0.2857	0.2517	0.034
16	action	0.7458	0.0704	1	282	520	54	2012.7037	0.9835	0.6296	0.0185	0.3519	0.4259	0.0556	0.037	0.1296	0.2222	0.1852	0.037
17	adaptation	1.0044	0.0822	1	108	139	15	2012	0.5779	0.6667	0.0667	0.2667	0.2	0.0667	0	0.0667	0.2	0.2	0
18	adjustment	-0.3703	0.0806	2	85	102	14	2011.9286	0.6044	0.1429	0.2857	0.5714	0.1429	0.2143	0.0714	0.0714	0.2143	0.2143	0
19	adoption	0.553	0.4365	1	326	552	53	2012.4528	1.0236	0.7547	0.0377	0.2075	0.3396	0.0943	0	0.0566	0.1887	0.1509	0.0377
20	africa	-0.8803	-0.4828	3	196	351	29	2011.9655	0.9585	0.1724	0.0345	0.7931	0.1034	0.1379	0.069	0.069	0.2414	0.2414	0
21	agriculture	-0.8575	-0.5302	3	173	230	17	2012.5882	1.0271	0.2353	0	0.7647	0.1765	0.1765	0	0	0.2353	0.1765	0.0588
22	algorithm	0.6577	-0.3716	1	625	1901	216	2011.713	0.8815	0.6204	0.1111	0.2685	0.3148	0.213	0.0463	0.0648	0.3241	0.3148	0.0093
23	alpha	-0.185	0.5741	2	165	224	21	2011.9048	0.8132	0.1905	0.3333	0.4762	0.0476	0.0952	0.1905	0.0952	0.2381	0.1905	0.0476
24	alternative method	0.5703	-0.1024	1	81	91	12	2012.5833	1.2536	0.3333	0.25	0.4167	0.3333	0.25	0.0833	0	0.0833	0.0833	0
25	altmetric	0.095	0.6993	2	161	239	30	2015.3333	3.9666	0.2667	0.2	0.5333	0.1	0.0333	0.0333	0.1	0.4667	0.4333	0.0333
26	ambiguity	0.5873	-0.3982	1	128	187	21	2012.4762	0.8005	0.6667	0	0.3333	0.2857	0.0952	0	0	0.4762	0.4286	0.0476
27	america	-1.0342	-0.3985	3	163	241	19	2011.8947	0.587	0.2105	0.1053	0.6842	0.2105	0.3158	0.0526	0	0.1579	0.1579	0
28	american society	-0.0223	0.4325	2	135	168	20	2011.85	1.2851	0.45	0.2	0.35	0.45	0.1	0.05	0.2	0.3	0.25	0.05
29	analogy	0.2713	0.142	2	113	139	16	2010.375	0.7577	0.4375	0.125	0.4375	0.125	0.125	0	0	0.25	0.25	0
30	analyst	0.3282	-0.2607	1	157	200	20	2011.6	0.7897	0.6	0.1	0.3	0.55	0.1	0.05	0.15	0.45	0.45	0
31	analytical result	-0.5785	-0.8418	4	66	97	10	2011	0.6845	0	0.1	0.9	0	0.4	0	0	0.4	0.4	0
32	angewandte chemie international edition	-0.1219	0.7671	2	68	100	12	2010	1.5264	0.25	0.4167	0.3333	0	0	0.0833	0	0.25	0.25	0
33	answer	1.1429	0.2029	1	315	639	62	2012.371	0.9949	0.7903	0	0.2097	0.3226	0.0645	0	0.0323	0.2419	0.1774	0.0645
34	applicability	0.4863	0.2409	1	233	312	35	2012.1143	0.9981	0.4	0.1429	0.4571	0.1714	0.1429	0.1143	0.0571	0.2	0.1143	0.0857
35	applicant	-0.2633	0.0296	2	131	188	26	2012.3846	0.808	0.1538	0.3077	0.5385	0.1154	0.1154	0	0.0769	0.1923	0.1923	0
36	appropriateness	0.2852	0.1002	1	120	142	13	2012.4615	1.417	0.2308	0.3077	0.4615	0.2308	0	0.1538	0.0769	0.3077	0.3077	0
37	architecture	0.6696	-0.0597	1	136	182	19	2012.2105	0.7378	0.6842	0.1053	0.2105	0.3684	0.1053	0	0	0.1053	0.0526	0.0526
38	article level	-0.3933	0.5678	2	108	137	14	2012.3571	1.2039	0.1429	0.1429	0.7143	0.3571	0.2143	0.0714	0.2857	0.2857	0.2143	0.0714
39	article title	-0.371	-0.2507	3	137	176	15	2013.2667	1.3753	0.2	0.0667	0.7333	0.2	0.2667	0	0	0.1333	0.1333	0
40	artifact	0.9577	0.1455	1	157	204	24	2012.5833	0.8831	0.75	0	0.25	0.625	0.0833	0	0.0833	0.2917	0.2083	0.0833
41	artificial intelligence	0.0423	0.4872	2	118	144	16	2013.3125	0.5892	0.375	0.25	0.375	0.3125	0.125	0	0.0625	0.25	0.25	0
42	arwu	-0.1928	0.3045	2	63	111	14	2012.7857	1.3025	0.1429	0	0.8571	0	0	0	0	0.1429	0.1429	0
43	arxiv	-0.4228	0.5327	2	97	121	13	2011.9231	1.3221	0.4615	0	0.5385	0.3846	0.0769	0	0.0769	0.6154	0.6154	0
44	asia	-1.0032	-0.5923	3	210	419	32	2012.375	0.8092	0.0938	0.0625	0.8438	0.0938	0.3125	0.0625	0.0312	0.0938	0.0625	0.0312
45	asian country	-0.989	-0.3157	3	149	241	22	2012.0909	1.7058	0.0909	0	0.9091	0.0909	0.1818	0.0455	0.0909	0.1364	0.1364	0
